"","year","iso3","idps","idps_change","pop","q1_temp","q2_temp","q3_temp","q4_temp","max_rain","avg_rain","deaths_war","deaths_civ","deaths_tot","food_yield","gdp","cpi","polity2","durable","percapinc"
"1",1960,"AGO",0,0,5643182,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2",1960,"COD",0,0,15248251,NA,NA,NA,NA,NA,NA,0,0,0,NA,3359404117.64706,NA,-77,0,220.314062094535
"3",1961,"AGO",0,0,5753024,22.302,20.303,19.5422333333333,22.3615666666667,192.112,100.491245,0,0,0,828,NA,NA,NA,NA,NA
"4",1961,"BDI",0,0,2839666,20.3147666666667,20.3426666666667,20.26,19.8724,303.964,109.540114166667,0,0,0,946.2,202999992,NA,NA,NA,71.4872777291414
"5",1961,"COD",0,0,15637733,NA,NA,NA,NA,NA,NA,0,0,0,699.2,3086746857.14286,NA,-77,0,197.390942609319
"6",1961,"GHA",0,0,6866539,28.1640666666667,27.7181333333333,25.1483,26.8559333333333,221.787,89.5672666666667,0,0,0,816.4,1302674264.19915,NA,-8,1,189.713371496055
"7",1961,"RWA",0,0,2996096,19.4244,19.5253,19.1867333333333,18.5889,270.869,109.6889,0,0,0,854,122000016,NA,-5,0,40.7196618532917
"8",1961,"TGO",0,0,1597526,28.1075333333333,27.47,24.6774,26.5718333333333,203.112,88.5444558333333,0,0,0,465,126396469.707058,NA,-6,1,79.1201330726749
"9",1961,"TZA",0,0,10373398,23.4992,22.3314,21.3493333333333,23.0732,256.161,108.2601575,0,0,0,805.7,NA,NA,-6,0,NA
"10",1961,"UGA",0,0,7006633,23.5106,23.0278333333333,21.4157333333333,21.2813,268.487,132.149758333333,0,0,0,902.3,441524109.014675,NA,NA,NA,63.0151613499201
"11",1962,"AGO",0,0,5866061,22.3321333333333,20.0802,19.6541,22.5701333333333,183.664,90.3326075,0,0,0,830.3,NA,NA,NA,NA,NA
"12",1962,"BDI",0,0,2893669,19.8075666666667,19.6549,20.1413666666667,19.9380666666667,169.641,117.092568333333,0,0,0,1010.6,213500006,NA,0,0,73.7817649496193
"13",1962,"COD",0,0,16041263,NA,NA,NA,NA,NA,NA,0,0,0,700.8,3779841428.57143,NA,-77,0,235.632408032424
"14",1962,"GHA",0,0,7085464,28.4157666666667,27.4003333333333,25.3856333333333,26.6520666666667,287.412,117.001499166667,0,0,0,809.6,1382515590.06942,NA,-9,2,195.119979449394
"15",1962,"RWA",0,0,3050604,18.8769333333333,18.8751,19.1474333333333,18.8427666666667,193.827,113.5048125,0,0,0,1359.1,125000008,NA,-5,1,40.9754946889206
"16",1962,"TGO",0,0,1612755,28.164,27.0852666666667,24.9501666666667,26.4974333333333,271.046,117.969745833333,0,0,0,477.4,132237441.630863,NA,-6,2,81.99474912858
"17",1962,"TZA",0,0,10683906,22.7088666666667,21.3604666666667,21.1067333333333,23.106,220.778,91.5939008333333,0,0,0,831.3,NA,NA,-6,1,NA
